Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore_adj,Yes_Top,training
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,126,5.5,73568,31.14,2.5,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2014,136,7.8,542362,259.75,7,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,2016,104,5.7,7044,33.04,4.1,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,2016,100,6.1,1703,,6.7,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,2010,117,7.7,456749,48.04,6.6,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2015,96,6.7,61098,9.24,5.1,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2006,117,7.1,283445,244.05,7.3,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,2014,100,6.9,136399,14.67,8.3,0,0
0,0,0,0,0,1,1,0,0,1,0,0,0,2011,158,7.8,348551,102.52,7.1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,2013,110,7,334867,150.37,4.4,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,163,7,19660,0.66,7.9,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,2015,119,7.1,121313,8.7,8.2,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2010,107,6.4,179450,52,5.1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,2014,97,7,268877,241.41,5.6,0,1
0,0,0,0,0,0,0,0,1,0,0,1,1,2016,102,4.8,2382,,3.5,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,2006,118,8.2,498879,37.62,9.8,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,2016,95,5.2,3305,0,5,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,2006,139,7.8,247926,50.86,6.8,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,2015,131,7.4,257472,195,7.5,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,2016,114,6.1,66766,47.95,3.5,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,2012,102,8,377336,17.74,6.7,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,100,6.8,41446,13.96,8.1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,1,2016,85,3.9,4895,2.41,3.1,0,1
0,1,0,0,1,0,1,0,0,0,0,0,0,2014,99,8.1,530881,59.07,8.8,0,1
1,1,0,0,0,0,0,0,0,0,1,0,0,2013,125,5.9,96852,26.62,3.5,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,2014,134,7.6,332234,85.71,6.4,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2015,95,8.2,416689,356.45,9.4,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,90,5.8,1109,9.4,4.8,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2015,126,6.5,205365,89.73,3.8,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,2010,118,5.9,148949,88.76,4.7,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,2012,158,7.6,257426,148.78,6.3,0,1
0,0,0,0,0,0,1,0,0,0,0,1,1,2006,109,7.9,382910,35.29,8.4,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,2016,119,7.4,14708,5.66,8.3,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,2015,119,7.1,188017,110.82,7.5,0,0
0,0,0,1,1,0,1,0,0,0,0,0,0,2011,112,8.6,557965,13.18,5.7,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,2016,92,4.9,178,0.32,5,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,2009,94,7.3,50946,0.11,7.3,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2015,147,7.9,139831,161.03,7.2,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2014,142,6.7,342183,202.85,5.3,0,0
0,0,0,0,0,0,0,0,1,1,0,0,1,2013,112,7.5,330305,137.39,6.8,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2009,100,7.8,611563,277.31,7.3,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2012,131,5.8,210349,65.17,4.1,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0,2011,105,7.6,422290,176.74,6.8,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,2016,81,6.4,69823,67.24,5.8,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,2016,118,7.1,664,2.27,7.6,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,2014,119,7.8,440299,42.34,8.8,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,2010,108,8,581518,106.95,7.9,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,2014,108,6.2,21715,4.4,7.9,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2013,117,7,90556,0.79,6.4,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,2016,112,6,59312,0.54,4,0,1
0,0,0,0,0,0,1,0,1,0,0,0,1,2015,99,4.9,53441,0.03,5.3,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,102,6,75137,35.54,1.8,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,2012,172,7.5,298651,27.1,5.5,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2009,107,6.7,388447,179.88,4,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2016,85,3.7,2384,,,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,2012,143,7.8,547386,304.36,8.1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,2012,169,7.9,668651,303,5.8,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,2012,110,7.2,432046,138.45,6.9,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,2016,106,8,52144,3.23,7.9,0,1
